Japonais (hiraganas),Français,Nom du cours,Niveau,Topic
やまごや,chalet,03/03/26,B1,T2
やけい,vue panorama nocturne,03/03/26,B1,T2
ひょうか,évaluation,03/03/26,B1,T2
じもとのひとがいくみせ,restaurant où vont les locaux,03/03/26,B1,T2
こどもをつものりょうしんにまずける,envoyer les enfants chez les grands-parents,03/03/26,B1,T2
たべほうだい,manger à volonté,03/03/26,B1,T2
かていてきな,familial,03/03/26,B1,T2
りょうてい,resto gastro japonais,03/03/26,B1,T2
おもてなし,hospitalité / accueil,03/03/26,B1,T2
いっぴん,un plat,03/03/26,B1,T2
うまい,délicieux,03/03/26,B1,T2
なんといっても,au bout du compte,03/03/26,B1,T2
しょくよくがわく,ça aiguise l'appétit,03/03/26,B1,T2
みため,l'apparence,03/03/26,B1,T2
しんせんだ,frais / fraîche,03/03/26,B1,T2
ゆでる,faire bouillir,03/03/26,B1,T2
あげる,faire frire,03/03/26,B1,T2
むす,cuire à la vapeur,03/03/26,B1,T2
にる,faire mijoter,03/03/26,B1,T2
いためる,faire sauter,03/03/26,B1,T2
かける,mettre sur (du riz),03/03/26,B1,T2
おだんご,boulette de pâte de riz,05/03/26,B1,T2
まけたい,ne rien servir à envier,05/03/26,B1,T2
とくちょう,particularité,05/03/26,B1,T2
りょうりにん,cuisinier,05/03/26,B1,T2
ほんもの,authentique,05/03/26,B1,T2
バイキングほうしき,buffet à volonté,05/03/26,B1,T2
とにかく,en tout cas,05/03/26,B1,T2
こんでいる,plein / complet,05/03/26,B1,T2
あなば,une bonne adresse,05/03/26,B1,T2
はやっている,à la mode,05/03/26,B1,T2
ぎょうれつ,file d'attente,05/03/26,B1,T2
けってん,défaut,05/03/26,B1,T2
いがいに,étonnamment,05/03/26,B1,T2
にほんふう,à la japonaise,05/03/26,B1,T2
たかめ,plutôt cher,05/03/26,B1,T2
きみ,jaune d'œuf,10/03/26,B1,T2
かい,coquillage,10/03/26,B1,T2
しろみ,blanc d'œuf,10/03/26,B1,T2
おこのみやきこ,farine pour okonomiyaki,10/03/26,B1,T2
〜ぎゅうじゅう,habitant de〜,10/03/26,B1,T2
しょうがない,tant pis,10/03/26,B1,T2
こむぎこ,farine de blé,10/03/26,B1,T2
ふんまつだし,poudre,10/03/26,B1,T2
まぜる,mélanger,10/03/26,B1,T2
ちゃいろい,brun,10/03/26,B1,T2
かつおぶし,bonite séchée,10/03/26,B1,T2
にほんせい,fabriqué au Japon,10/03/26,B1,T2
むりな,impossible,10/03/26,B1,T2
コンセント,prise électrique,10/03/26,B1,T2
かんじる,ressentir,10/03/26,B1,T2
たりる,suffire,10/03/26,B1,T2
ながねぎ,oignon vert,10/03/26,B1,T2
たまねぎ,oignon,10/03/26,B1,T2
一いり,plat à〜 personne(s),12/03/26,B1,T2
一にんぶん,pour〜 personnes,12/03/26,B1,T2
うすぎりにく,viande coupée finement,12/03/26,B1,T2
かわ,pequ (plat),12/03/26,B1,T2
むく,peler,12/03/26,B1,T2
さます,laisser refroidir,12/03/26,B1,T2
つぶす,écraser / refroidir,12/03/26,B1,T2
まぜる,mélanger,12/03/26,B1,T2
てっぱん,plaque chauffante,12/03/26,B1,T2
うすい,mince,12/03/26,B1,T2
のせる,mettre dessus,12/03/26,B1,T2
ぬる,étaler,12/03/26,B1,T2
できあがり,c'est prêt,12/03/26,B1,T2
コツ,truc / astuce,12/03/26,B1,T2
ひきにく,viande hachée,12/03/26,B1,T2
ねぎ,poireau,12/03/26,B1,T2
てにはいる,trouver / se procurer,12/03/26,B1,T2
おいたち,les origines,12/03/26,B1,T2
さめる,refroidir,12/03/26,B1,T2
ゴミばこ,poubelle,17/03/26,B1,T2
ねばねばした,gluant,17/03/26,B1,T2
くさい,malodorant,17/03/26,B1,T2
しかく,carré,17/03/26,B1,T2
うすい,fade,17/03/26,B1,T2
しょっぱい,salé,17/03/26,B1,T2
からい,épicé,17/03/26,B1,T2
かたち,forme,17/03/26,B1,T2
ニリニク,ail,17/03/26,B1,T2
おわせる,s'occuper de,17/03/26,B1,T2
うらがえす,retourner (galette),17/03/26,B1,T2
たく,cuire (riz),19/03/26,B1,T2
ひ,feu,19/03/26,B1,T2
うらめん,face arrière,19/03/26,B1,T2
おもてめん,face avant,19/03/26,B1,T2
あらかじめ,à l'avance,19/03/26,B1,T2
かわりに,à la place de,19/03/26,B1,T2
かたまる,durcir,19/03/26,B1,T2
たどうし,transitif,19/03/26,B1,T2
じどうし,intransitif,19/03/26,B1,T2
がっき,instrument de musique,じゅんび73,B1,T3
もよおし,événement / spectacle,じゅんび73,B1,T3
もっぱら,principalement,じゅんび73,B1,T3
たまに,de temps en temps,じゅんび73,B1,T3
一ちゅうしん,surtout / principalement,じゅんび73,B1,T3
ないよう,contenu,じゅんび73,B1,T3
きょく,chanson / morceau,じゅんび73,B1,T3
めったに〜ない,rarement〜 nb de fois,じゅんび73,B1,T3
わりあい,proportion,じゅんび73,B1,T3
たんじゅんな,simple,じゅんび73,B1,T3
げんだいてきな,contemporain,じゅんび73,B1,T3
こてんてきな,classique,じゅんび73,B1,T3
なつかしい,nostalgique,じゅんび73,B1,T3
〜かんじがする,avoir l'impression que〜,じゅんび73,B1,T3
すすめる,recommander,24/03/26,B1,T3
めん,nouilles,24/03/26,B1,T3
パセリ,persil,24/03/26,B1,T3
つける,verser sur,24/03/26,B1,T3
すっぱい,acide,24/03/26,B1,T3
だいひょうてきな,typique,24/03/26,B1,T3
〜にもよって,en fonction de,24/03/26,B1,T3
ひにやけます,bronzer,31/03/26,B1,T3
じょうし,chef,31/03/26,B1,T3
れいがい,exception,31/03/26,B1,T3
がくせいじだい,pendant mes études,31/03/26,B1,T3
〜してん,succursale de,31/03/26,B1,T3
ふにんする,nommé à (un poste),31/03/26,B1,T3
にほんしき,style japonais,31/03/26,B1,T3
じだう,une période,31/03/26,B1,T3
よう,etre ivre,31/03/26,B1,T3
まよう,hésiter,31/03/26,B1,T3
むりに,de force,31/03/26,B1,T3
へんな,bizarre / étrange,31/03/26,B1,T3
